duration,subjID,stimulus,neg_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
250,442049,001828_2014-06-26_21-40-03_260595134347_rgbf000024-resize,-0.075542109,0.075542109,3.973396507,-3.973396507,35.55232951,4.826
250,442049,000927_2014-06-09_16-32-30_260595134347_rgbf000123-resize,-0.476515237,0.476515237,3.353683113,-3.353683113,11.71523965,2.6785
250,442049,002570_2014-06-24_13-59-54_094959634447_rgbf000059-resize,-0.42543968,0.42543968,3.94828981,-3.94828981,41.59614038,4.037
250,442049,001810_2014-06-26_20-51-35_260595134347_rgbf000040-resize,-0.252989025,0.252989025,2.927683113,-2.927683113,22.41139141,2.2525
250,442049,002875_2014-06-01_15-19-00_094959634447_rgbf000151-resize,-0.10344684,0.10344684,2.642683113,-2.642683113,11.62568094,1.9675
250,442049,001092_2014-06-15_17-34-58_260595134347_rgbf000171-resize,-0.484385878,0.484385878,3.368683113,-3.368683113,9.164038325,2.6935
250,442049,002545_2014-06-24_13-38-53_094959634447_rgbf000080-resize,-0.078785497,0.078785497,2.595683113,-2.595683113,12.08382405,1.9205
250,442049,001167_2014-06-17_15-38-07_260595134347_rgbf000108-resize,-0.805949141,0.805949141,3.289576416,-3.289576416,12.01905066,1.8505
250,442049,003587_2014-05-23_16-48-02_094959634447_rgbf002384-resize,-1.310898345,1.310898345,3.559969718,-3.559969718,20.78817272,1.357
250,723081,001808_2014-06-26_20-50-58_260595134347_rgbf000029-resize,-0.27390378,0.27390378,3.897515513,-3.897515513,20.03065155,4.249
250,723081,001516_2014-06-20_16-25-09_260595134347_rgbf000076-resize,-0.846685758,0.846685758,3.279932232,-3.279932232,3.862265909,1.7445
250,723081,001417_2014-06-19_16-25-36_260595134347_rgbf000115-resize,-0.471456877,0.471456877,4.274015513,-4.274015513,49.1709127,4.6255
250,723081,003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize,-0.097339061,0.097339061,3.561015513,-3.561015513,16.63299165,3.9125
250,723081,001650_2014-06-20_12-09-00_260595134347_rgbf000087-resize,-0.483046719,0.483046719,3.014203052,-3.014203052,47.68045959,1.9505
250,723081,001244_2014-06-17_16-47-45_260595134347_rgbf000030-resize,-1.003049165,1.003049165,3.577932232,-3.577932232,6.762963881,2.0425
250,723081,003495_2014-05-21_16-01-51_094959634447_rgbf000100-resize,-0.312516158,0.312516158,2.689203052,-2.689203052,12.74727881,1.6255
250,723081,001150_2014-06-17_15-27-34_260595134347_rgbf000108-resize,-0.160304191,0.160304191,3.681015513,-3.681015513,11.08813907,4.0325
250,723081,002375_2014-06-28_20-13-44_260595134347_rgbf000032-resize,-0.624162729,0.624162729,4.137744693,-4.137744693,48.7610365,4.0175
250,723081,002568_2014-06-24_13-59-21_094959634447_rgbf000062-resize,-0.569870716,0.569870716,3.606973872,-3.606973872,29.63840999,3.015
250,723081,001235_2014-06-17_16-37-36_260595134347_rgbf000084-resize,-0.908570646,0.908570646,4.252473872,-4.252473872,14.54770666,3.6605
250,723081,001094_2014-06-15_17-36-00_260595134347_rgbf000205-resize,-1.200833793,1.200833793,4.809473872,-4.809473872,17.19677127,4.2175
250,723081,000470_2014-06-09_19-42-40_260595134347_rgbf000094-resize,-0.420343944,0.420343944,2.894703052,-2.894703052,22.48637943,1.831
250,723081,000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize,-0.642049085,0.642049085,2.889932232,-2.889932232,6.620498201,1.3545
250,723081,002509_2014-06-24_13-19-22_094959634447_rgbf000077-resize,-0.616863033,0.616863033,2.841932232,-2.841932232,40.21868783,1.3065
250,723081,002784_2014-06-22_19-26-30_094959634447_rgbf000083-resize,-0.878255775,0.878255775,3.340098898,-3.340098898,3.042252247,1.804666667
250,723081,001100_2014-06-15_17-46-26_260595134347_rgbf000225-resize,-0.634950096,0.634950096,3.303703052,-3.303703052,9.548860597,2.24
250,723081,000469_2014-06-09_19-42-10_260595134347_rgbf000081-resize,-0.326420958,0.326420958,2.715703052,-2.715703052,25.13136208,1.652
250,723081,000483_2014-06-09_20-41-45_260595134347_rgbf000116-resize,-0.16113749,0.16113749,2.400703052,-2.400703052,29.23241499,1.337
250,723081,002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize,-1.290342984,1.290342984,3.698161411,-3.698161411,28.95381292,1.691
250,723081,002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize,-0.48645733,0.48645733,3.020703052,-3.020703052,13.29707844,1.957
250,723081,002103_2014-06-25_20-00-40_260595134347_rgbf000049-resize,-0.198345624,0.198345624,3.753515513,-3.753515513,11.59801887,4.105
250,723081,000691_2014-06-08_13-08-50_260595134347_rgbf000132-resize,-0.223531676,0.223531676,3.801515513,-3.801515513,14.74084621,4.153
250,723081,000929_2014-06-09_16-33-19_260595134347_rgbf000139-resize,-0.021009252,0.021009252,2.988244693,-2.988244693,19.50133801,2.868
250,723081,001584_2014-06-20_11-07-43_260595134347_rgbf000002-resize,-0.368366888,0.368366888,3.650244693,-3.650244693,17.60283414,3.53
250,723081,002279_2014-06-28_18-55-32_260595134347_rgbf000040-resize,-0.248938867,0.248938867,2.568036385,-2.568036385,15.96377228,1.504333333
250,723081,002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize,-0.008153871,0.008153871,2.963744693,-2.963744693,8.475049544,2.8435
250,723081,003048_2014-06-15_13-49-43_094959634447_rgbf000150-resize,-0.145087618,0.145087618,3.652015513,-3.652015513,24.35560653,4.0035
250,723081,002725_2014-06-22_11-47-51_094959634447_rgbf000070-resize,-0.611338172,0.611338172,3.258703052,-3.258703052,3.938570017,2.195
250,723081,002344_2014-06-28_20-06-29_260595134347_rgbf000030-resize,-1.231837884,1.231837884,3.586661411,-3.586661411,37.33165518,1.5795
250,723081,000736_2014-06-08_18-24-15_260595134347_rgbf000206-resize,-0.360496246,0.360496246,3.635244693,-3.635244693,33.40817061,3.515
250,723081,000137_2014-05-20_17-04-49_260595134347_rgbf000120-resize,-0.030963319,0.030963319,3.434515513,-3.434515513,14.89611111,3.786
250,723081,000642_2014-06-08_16-59-25_260595134347_rgbf000098-resize,-0.028092829,0.028092829,3.001744693,-3.001744693,31.36214301,2.8815
250,723081,002425_2014-06-28_20-27-29_260595134347_rgbf000031-resize,-0.088681355,0.088681355,3.544515513,-3.544515513,8.404958011,3.896
250,723081,002199_2014-06-28_18-33-56_260595134347_rgbf000074-resize,-0.978650177,0.978650177,3.531432232,-3.531432232,17.12852126,1.996
250,723081,000917_2014-06-09_22-45-29_260595134347_rgbf000149-resize,-0.241109442,0.241109442,3.835015513,-3.835015513,9.740561609,4.1865
250,723081,002953_2014-06-08_17-32-18_094959634447_rgbf000059-resize,-0.273425306,0.273425306,2.614703052,-2.614703052,13.90502793,1.551
250,723081,002905_2014-06-03_18-04-43_094959634447_rgbf000151-resize,-0.524498763,0.524498763,3.093203052,-3.093203052,12.02060434,2.0295
250,723081,003129_2014-05-12_10-48-10_094959634447_rgbf000100-resize,-0.15976407,0.15976407,4.107286334,-4.107286334,17.90745438,4.9305
250,723081,002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize,-0.07397408,0.07397408,3.943786334,-3.943786334,14.46030657,4.767
250,723081,001052_2014-06-08_18-24-54_260595134347_rgbf000130-resize,-0.669812449,0.669812449,4.224744693,-4.224744693,25.87613691,4.1045
250,723081,000810_2014-06-08_17-20-01_260595134347_rgbf000105-resize,-0.711310728,0.711310728,3.021932232,-3.021932232,3.095889012,1.4865
