duration,subjID,stimulus,pos_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
1000,928935,002678_2014-06-13_16-15-32_094959634447_rgbf000151-resize,1.220910407,1.220910407,1.437638545,-1.437638545,32.96558503,2.183
1000,928935,002763_2014-06-22_19-13-10_094959634447_rgbf000075-resize,0.331332339,0.331332339,2.099583233,-2.099583233,5.591978359,1.68375
1000,928935,000009_2014-05-26_14-32-05_260595134347_rgbf000034-resize,0.882880488,0.882880488,2.545541202,-2.545541202,34.79652683,3.8715
1000,928935,000906_2014-06-08_13-35-43_260595134347_rgbf000155-resize,0.858573566,0.858573566,2.103638545,-2.103638545,16.12201726,2.849
1000,928935,002805_2014-06-22_19-54-03_094959634447_rgbf000079-resize,0.698079019,0.698079019,2.398638545,-2.398638545,7.377848173,3.144
1000,928935,001110_2014-06-15_17-25-28_260595134347_rgbf000150-resize,0.316234971,0.316234971,2.127333233,-2.127333233,9.336195527,1.7115
1000,928935,000927_2014-06-09_16-32-30_260595134347_rgbf000123-resize,0.37073663,0.37073663,2.513735889,-2.513735889,11.71523965,2.6785
1000,928935,002570_2014-06-24_13-59-54_094959634447_rgbf000059-resize,0.212242983,0.212242983,3.291638545,-3.291638545,41.59614038,4.037
1000,928935,003010_2014-06-15_12-54-35_094959634447_rgbf000112-resize,1.29254962,1.29254962,1.792541202,-1.792541202,6.696951334,3.1185
1000,928935,002663_2014-06-13_15-50-26_094959634447_rgbf000075-resize,0.405205192,0.405205192,3.423541202,-3.423541202,16.72595409,4.7495
1000,928935,002875_2014-06-01_15-19-00_094959634447_rgbf000151-resize,0.75755569,0.75755569,1.802735889,-1.802735889,11.62568094,1.9675
1000,928935,002545_2014-06-24_13-38-53_094959634447_rgbf000080-resize,0.202528664,0.202528664,2.336333233,-2.336333233,12.08382405,1.9205
1000,596417,001808_2014-06-26_20-50-58_260595134347_rgbf000029-resize,0.51900465,0.51900465,3.081538424,-3.081538424,20.03065155,4.249
1000,596417,001815_2014-06-26_20-52-55_260595134347_rgbf000020-resize,0.331819958,0.331819958,2.875465648,-2.875465648,18.62632266,3.3865
1000,596417,001516_2014-06-20_16-25-09_260595134347_rgbf000076-resize,0.131103555,0.131103555,2.327511021,-2.327511021,3.862265909,1.7445
1000,596417,001417_2014-06-19_16-25-36_260595134347_rgbf000115-resize,0.314170084,0.314170084,3.458038424,-3.458038424,49.1709127,4.6255
1000,596417,003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize,0.04565002,0.04565002,3.401465648,-3.401465648,16.63299165,3.9125
1000,596417,001158_2014-06-17_15-32-16_260595134347_rgbf000138-resize,0.365310719,0.365310719,3.364038424,-3.364038424,26.95445197,4.5315
1000,596417,000692_2014-06-08_13-09-42_260595134347_rgbf000199-resize,2.151760093,2.151760093,1.180683977,-1.180683977,54.8004659,3.661
1000,596417,001094_2014-06-15_17-36-00_260595134347_rgbf000205-resize,2.067805725,2.067805725,1.518374902,-1.518374902,17.19677127,4.2175
1000,596417,000780_2014-06-08_22-28-29_260595134347_rgbf000126-resize,0.11518708,0.11518708,3.090274723,-3.090274723,14.16539078,3.3825
1000,596417,002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize,0.015493076,0.015493076,2.540011021,-2.540011021,13.29707844,1.957
1000,596417,002039_2014-06-24_20-22-38_260595134347_rgbf000084-resize,0.432500809,0.432500809,3.240538424,-3.240538424,15.52430364,4.408
1000,596417,002103_2014-06-25_20-00-40_260595134347_rgbf000049-resize,1.0349659,1.0349659,2.499920275,-2.499920275,11.59801887,4.105
1000,596417,002213_2014-06-28_18-37-58_260595134347_rgbf000055-resize,0.861211667,0.861211667,2.452538424,-2.452538424,11.38729689,3.62
