neg_s_residual,abs_s_residual,abs_error,error,groundPlane,actual_depth
-0.519125132,0.866681319,3.092001717,-3.044290424,47.68045959,1.9505
-0.531788072,0.659416868,3.431827652,-3.431827652,13.90986971,2.7305
-0.146099021,0.467991688,2.834939211,-2.816569961,22.41139141,2.2525
-0.251138114,0.74424567,4.215422292,-4.158682581,35.55232951,4.826
-0.18326182,0.687896703,3.759037984,-3.743927417,11.59801887,4.105
-0.164250805,0.42906577,2.692515162,-2.692515162,13.29707844,1.957
-0.174417463,0.462049555,2.966634319,-2.965943438,17.28886318,2.505
-0.545815433,0.738371783,3.099290132,-3.092653875,17.12852126,1.996
-0.174905345,0.412017335,2.751503967,-2.751503967,12.96206883,2.057
-0.055897717,0.497130446,2.191970771,-2.190302466,10.40924581,1.138
-0.145097704,0.458131005,2.455406199,-2.455406199,15.96377228,1.504333333
-0.320825524,0.673911377,2.687596255,-2.667560124,37.33165518,1.5795
-0.752565959,0.821074646,4.271252572,-4.271252572,48.7610365,4.0175
-0.068602724,0.65019106,3.783086481,-3.753379619,31.72066218,4.363
-0.18402806,0.735911455,4.078080651,-4.051166039,15.33104622,4.742
-0.052952461,0.50693743,2.273894751,-2.268769767,40.21868783,1.3065
-0.418397621,0.765093549,3.94725626,-3.946545942,41.59614038,4.037
-0.060772662,0.494454116,2.978622747,-2.973846013,44.47386082,2.7575
-0.125666661,0.583845766,3.664290222,-3.654208331,16.52140679,4.0375
-0.105391304,0.582555078,3.423520211,-3.411868051,15.11997681,3.576
-0.103884467,0.715287756,3.97473107,-3.97473107,16.72595409,4.7495
-0.159539275,0.490888697,2.988807623,-2.975432443,7.204478276,2.555
-0.270645031,0.521016766,2.728806149,-2.725666403,3.042252247,1.804666667
-0.154102861,0.434743091,2.718329873,-2.717406617,12.02060434,2.0295
-0.207259507,0.454231609,2.704556962,-2.703525424,17.99500168,1.8915
-0.120831876,0.606181137,2.503953475,-2.453875353,13.90502793,1.551
-0.270672787,0.612124096,2.701298447,-2.671483106,28.95381292,1.691
-0.327613261,0.754501585,4.285353596,-4.285353596,17.90745438,4.9305
-0.246106708,0.536279822,2.785943009,-2.779722211,14.40337639,1.968
-0.371614933,0.564978431,3.635244642,-3.632591771,33.08428271,3.4815
-0.178626628,0.506884791,2.59353977,-2.579803365,28.25149566,1.693
-0.264095962,0.53062783,2.648528408,-2.632850414,12.74727881,1.6255
-0.325876215,0.576306092,2.605630668,-2.598510117,12.37699401,1.426
-0.288471621,0.636634563,2.554908488,-2.528302199,20.78817272,1.357
